address_ss58,airdrop_amount,total_dot,snapshot_dot,nompool_dot,crowdloan_dot,num_criteria,criteria1,criteria11,criteria12,criteria2,criteria3,criteria4,criteria5,criteria6
15oUdnmpyLezZBTa3cPvGepMyMzY7kDWrYwBhYsmKrdKXwZJ,322,61586.4048061397,46586.4048061397,0,15000,5,0,0,0,1,1,1,1,1
14ZDfDYzHacF8MvpnBWUJyYAkTPVz3HcerWmWnjdv2mzBZnG,322,5552.4156222702,5502.4156222702,0,50,5,0,0,0,1,1,1,1,1
12GRYDTtziMXrJK6JPxLJfcDkfVr4YG5vHNC75EeLZPBqDtT,322,5857.2147352244,5747.2147352244,0,110,5,0,0,0,1,1,1,1,1
15DmgGWaWqfUjQ9dJz5tTEdE3AHYE6ze856ziQcZ6GQSN9Nh,322,26276.755842116,22521.755842116,0,3755,5,0,0,0,1,1,1,1,1
123LuJKS65HaBbLSdDS46ByeC7bvQwA1iUhTpmjigQAfUKpK,322,10330.6173356799,9872.6173356799,453,5,5,0,0,0,1,1,1,1,1
16J1Uc9jRB9LTckfsAzw6rLvcMXp3q4MqzrmHCL7VPS4s8pY,316,6531.215669366,25.215669366,0,6506,4,1,0,0,0,0,1,1,1
13BoC7WWc2jm1xUqEATcpDUMiLRg1aPxpFntH9efxahaxmFk,316,8145.4482990464,1.4482990464,580,7564,4,1,0,0,0,0,1,1,1
15ouFh2SHpGbHtDPsJ6cXQfes9Cx1gEFnJJsJVqPGzBSTudr,316,5222.3446883945,23.3446883945,0,5199,4,1,0,0,0,0,1,1,1
14h6GVCEWY49CkwWWxKMwNHyYfedDYtZCr2okVGzeNGgnZtR,294,195250.2410764063,193750.2410764063,0,1500,4,0,0,0,1,0,1,1,1
12EHk99UftHV8VNmLwNq9LDXtU7JvsE2Eikwyu6cX19c3XVU,284,8601.1848326351,8601.1848326351,0,0,5,1,0,0,1,1,1,1,0
12zQ24RCSNrz81ESTsjhY81MKPGCMwPu64p5oJ7ygo1sBp4a,284,6271.4527250641,6271.4527250641,0,0,5,1,0,0,1,1,1,1,0
15r3tauLe4n8pRb9EzNVvdzbKc15rjscW8z2rzTRBGPwU4wh,284,7668.5198320892,7643.5198320892,0,25,5,1,0,0,1,1,1,1,0
12jjEWWdLiopLJPejNRZq1LcetDgNhZHMqwvV4UB7N3FLnaC,284,12143.7767953446,11499.7767953446,0,644,5,1,0,0,1,1,1,1,0
138nLqFBA418PVhyn6g9X8QsS2PBbys1oDVmi4W1AKfMqWjw,284,6305.5604665944,6089.5604665944,0,216,5,1,0,0,1,1,1,1,0
1Zc3KYxJT8s9krniZBDmvaw7eFK532StJp7xZorgZqV6owp,284,160242.2872450385,148208.9472450385,0,12033.34,5,1,0,0,1,1,1,1,0
1ewXsQeSypXug9X7VKm58tvm1MgQRKp9UjAkzC7bXPuoVSw,284,13939.246828041,13939.246828041,0,0,5,1,0,0,1,1,1,1,0
15qjr7TXxgDk4jxB7unDj1RexfawU1jPxKAmRoiYMrK54L3w,284,7862.4830061926,7450.8830061926,14,397.6,5,1,0,0,1,1,1,1,0
14x3D7PCPoSyQNxnE7XvZHU6LWkcN1HfTkZMLPSmF7SZBhLM,284,49837.6502535967,49837.6502535967,0,0,5,1,0,0,1,1,1,1,0
13VkBkY4FEH8QaFrM1mMzxjSjkc2VMfouTfvazXRhQGux5tJ,284,7225.0390599434,7225.0390599434,0,0,5,1,0,0,1,1,1,1,0
